Affairs,Gender,Age,MarriedAge,ChildNo,Regiousness,Edu,Occupation,Rating
3.0,female,47.0,15.0,yes,2,17,5,2
12.0,male,37.0,15.0,yes,2,17,5,4
12.0,female,27.0,4.0,no,2,14,5,5
2.0,female,27.0,10.0,yes,4,14,1,5
1.0,female,22.0,4.0,yes,3,16,1,3
12.0,male,52.0,7.0,no,4,16,5,5
2.0,female,27.0,4.0,yes,1,16,3,5
7.0,female,37.0,15.0,yes,2,17,6,4
2.0,female,27.0,4.0,no,1,17,3,1
12.0,female,17.5,0.75,yes,2,12,3,5
7.0,female,32.0,15.0,yes,5,18,5,4
7.0,female,22.0,4.0,no,1,16,3,5
2.0,male,32.0,4.0,yes,4,18,6,4
1.0,female,22.0,1.5,yes,3,18,5,2
3.0,female,42.0,15.0,yes,2,17,5,4
1.0,male,32.0,7.0,yes,4,16,4,4
12.0,male,37.0,15.0,no,3,14,6,2
1.0,male,42.0,15.0,yes,3,16,6,3
1.0,male,27.0,4.0,yes,1,18,5,4
2.0,male,37.0,15.0,yes,4,20,7,3
7.0,male,37.0,15.0,yes,3,20,6,4
3.0,male,22.0,1.5,no,2,12,3,3
3.0,male,32.0,4.0,yes,3,20,6,2
2.0,male,32.0,15.0,yes,5,20,6,5
12.0,female,52.0,15.0,yes,1,18,5,5
12.0,male,47.0,15.0,no,1,18,6,5
3.0,female,32.0,15.0,yes,4,16,4,4
7.0,female,32.0,15.0,yes,3,14,3,2
7.0,female,27.0,7.0,yes,4,16,1,2
12.0,male,42.0,15.0,yes,3,18,6,2
7.0,female,42.0,15.0,yes,2,14,3,2
12.0,male,27.0,7.0,yes,2,17,5,4
3.0,male,32.0,10.0,yes,4,14,4,3
7.0,male,47.0,15.0,yes,3,16,4,2
1.0,male,22.0,1.5,yes,1,12,2,5
7.0,female,32.0,10.0,yes,2,18,5,4
2.0,male,32.0,10.0,yes,2,17,6,5
2.0,male,22.0,7.0,yes,3,18,6,2
1.0,female,32.0,15.0,yes,3,14,1,5
